id,t,layer,concept_separated,accuracy
332,940,21,"(False, False, True)",0.47058823529411764
333,940,21,"(True, True, False)",0.5451388888888888
334,940,21,"(True, False, True)",0.42857142857142855
335,940,21,"(False, True, True)",0.5
336,930,0,"(True, False, False)",0.6153846153846154
337,930,0,"(False, True, False)",0.5243445692883895
338,930,0,"(False, False, True)",0.5588235294117647
339,930,0,"(True, True, False)",0.5208333333333334
340,930,0,"(True, False, True)",0.5535714285714286
341,930,0,"(False, True, True)",0.4722222222222222
342,930,3,"(True, False, False)",0.6153846153846154
343,930,3,"(False, True, False)",0.5580524344569289
344,930,3,"(False, False, True)",0.5735294117647058
345,930,3,"(True, True, False)",0.5173611111111112
346,930,3,"(True, False, True)",0.5178571428571429
347,930,3,"(False, True, True)",0.48333333333333334
348,930,6,"(True, False, False)",0.6223776223776224
349,930,6,"(False, True, False)",0.5430711610486891
350,930,6,"(False, False, True)",0.5735294117647058
351,930,6,"(True, True, False)",0.5243055555555556
352,930,6,"(True, False, True)",0.5
353,930,6,"(False, True, True)",0.5
354,930,9,"(True, False, False)",0.6363636363636364
355,930,9,"(False, True, False)",0.550561797752809
356,930,9,"(False, False, True)",0.6176470588235294
357,930,9,"(True, True, False)",0.5243055555555556
358,930,9,"(True, False, True)",0.5178571428571429
359,930,9,"(False, True, True)",0.5
360,930,12,"(True, False, False)",0.6293706293706294
361,930,12,"(False, True, False)",0.5430711610486891
362,930,12,"(False, False, True)",0.5735294117647058
363,930,12,"(True, True, False)",0.5138888888888888
364,930,12,"(True, False, True)",0.5357142857142857
365,930,12,"(False, True, True)",0.48333333333333334
366,930,15,"(True, False, False)",0.6013986013986014
367,930,15,"(False, True, False)",0.5430711610486891
368,930,15,"(False, False, True)",0.6029411764705882
369,930,15,"(True, True, False)",0.5034722222222222
370,930,15,"(True, False, True)",0.5
371,930,15,"(False, True, True)",0.5055555555555555
372,930,18,"(True, False, False)",0.5944055944055944
373,930,18,"(False, True, False)",0.5280898876404494
374,930,18,"(False, False, True)",0.5882352941176471
375,930,18,"(True, True, False)",0.5104166666666666
376,930,18,"(True, False, True)",0.5
377,930,18,"(False, True, True)",0.49444444444444446
378,930,21,"(True, False, False)",0.5874125874125874
379,930,21,"(False, True, False)",0.5393258426966292
380,930,21,"(False, False, True)",0.5
381,930,21,"(True, True, False)",0.5069444444444444
382,930,21,"(True, False, True)",0.5178571428571429
383,930,21,"(False, True, True)",0.5111111111111111
384,920,0,"(True, False, False)",0.5594405594405595
385,920,0,"(False, True, False)",0.48314606741573035
386,920,0,"(False, False, True)",0.5147058823529411
387,920,0,"(True, True, False)",0.5173611111111112
388,920,0,"(True, False, True)",0.48214285714285715
389,920,0,"(False, True, True)",0.5055555555555555
390,920,3,"(True, False, False)",0.5524475524475524
391,920,3,"(False, True, False)",0.5168539325842697
392,920,3,"(False, False, True)",0.5441176470588235
393,920,3,"(True, True, False)",0.5173611111111112
394,920,3,"(True, False, True)",0.4642857142857143
395,920,3,"(False, True, True)",0.5444444444444444
396,920,6,"(True, False, False)",0.5314685314685315
397,920,6,"(False, True, False)",0.5243445692883895
398,920,6,"(False, False, True)",0.5588235294117647
399,920,6,"(True, True, False)",0.5138888888888888
