id,t,layer,digit_separated,accuracy
467,950,18,7,0.4915254237288136
468,950,18,8,0.425
469,950,18,9,0.45454545454545453
470,950,21,0,0.5714285714285714
471,950,21,1,0.5
472,950,21,2,0.41379310344827586
473,950,21,3,0.45454545454545453
474,950,21,4,0.47058823529411764
475,950,21,5,0.5
476,950,21,6,0.5
477,950,21,7,0.5084745762711864
478,950,21,8,0.425
479,950,21,9,0.5227272727272727
480,940,0,0,0.6
481,940,0,1,0.4797297297297297
482,940,0,2,0.41379310344827586
483,940,0,3,0.5909090909090909
484,940,0,4,0.5490196078431373
485,940,0,5,0.46153846153846156
486,940,0,6,0.6052631578947368
487,940,0,7,0.4915254237288136
488,940,0,8,0.375
489,940,0,9,0.5227272727272727
490,940,3,0,0.6
491,940,3,1,0.4797297297297297
492,940,3,2,0.4482758620689655
493,940,3,3,0.5909090909090909
494,940,3,4,0.5098039215686274
495,940,3,5,0.46153846153846156
496,940,3,6,0.5789473684210527
497,940,3,7,0.4406779661016949
498,940,3,8,0.325
499,940,3,9,0.5227272727272727
500,940,6,0,0.5714285714285714
501,940,6,1,0.47297297297297297
502,940,6,2,0.3793103448275862
503,940,6,3,0.5909090909090909
504,940,6,4,0.47058823529411764
505,940,6,5,0.46153846153846156
506,940,6,6,0.5526315789473685
507,940,6,7,0.4915254237288136
508,940,6,8,0.375
509,940,6,9,0.4772727272727273
510,940,9,0,0.5714285714285714
511,940,9,1,0.4594594594594595
512,940,9,2,0.41379310344827586
513,940,9,3,0.5454545454545454
514,940,9,4,0.5098039215686274
515,940,9,5,0.5
516,940,9,6,0.5789473684210527
517,940,9,7,0.4406779661016949
518,940,9,8,0.4
519,940,9,9,0.5227272727272727
520,940,12,0,0.5714285714285714
521,940,12,1,0.46621621621621623
522,940,12,2,0.4827586206896552
523,940,12,3,0.5909090909090909
524,940,12,4,0.5294117647058824
525,940,12,5,0.5
526,940,12,6,0.5789473684210527
527,940,12,7,0.4067796610169492
528,940,12,8,0.4
529,940,12,9,0.4772727272727273
530,940,15,0,0.5714285714285714
531,940,15,1,0.4864864864864865
532,940,15,2,0.4827586206896552
533,940,15,3,0.5909090909090909
534,940,15,4,0.5294117647058824
535,940,15,5,0.46153846153846156
536,940,15,6,0.5789473684210527
537,940,15,7,0.4915254237288136
538,940,15,8,0.4
539,940,15,9,0.5227272727272727
540,940,18,0,0.5428571428571428
541,940,18,1,0.4797297297297297
542,940,18,2,0.4827586206896552
543,940,18,3,0.5909090909090909
544,940,18,4,0.5294117647058824
545,940,18,5,0.5
546,940,18,6,0.631578947368421
547,940,18,7,0.4576271186440678
548,940,18,8,0.4
549,940,18,9,0.5227272727272727
550,940,21,0,0.4857142857142857
551,940,21,1,0.4864864864864865
552,940,21,2,0.3448275862068966
553,940,21,3,0.6363636363636364
554,940,21,4,0.5098039215686274
555,940,21,5,0.4230769230769231
556,940,21,6,0.5789473684210527
557,940,21,7,0.4406779661016949
558,940,21,8,0.4
559,940,21,9,0.4772727272727273
560,930,0,0,0.6
561,930,0,1,0.46621621621621623
562,930,0,2,0.5172413793103449
563,930,0,3,0.5
564,930,0,4,0.5490196078431373
565,930,0,5,0.46153846153846156
566,930,0,6,0.47368421052631576
567,930,0,7,0.423728813559322
568,930,0,8,0.4
569,930,0,9,0.4772727272727273
570,930,3,0,0.5142857142857142
571,930,3,1,0.4864864864864865
572,930,3,2,0.5517241379310345
573,930,3,3,0.4090909090909091
574,930,3,4,0.5490196078431373
575,930,3,5,0.5384615384615384
576,930,3,6,0.47368421052631576
577,930,3,7,0.423728813559322
578,930,3,8,0.375
579,930,3,9,0.45454545454545453
580,930,6,0,0.5142857142857142
581,930,6,1,0.49324324324324326
582,930,6,2,0.5517241379310345
583,930,6,3,0.45454545454545453
584,930,6,4,0.5686274509803921
585,930,6,5,0.5384615384615384
586,930,6,6,0.4473684210526316
587,930,6,7,0.423728813559322
588,930,6,8,0.375
589,930,6,9,0.4772727272727273
590,930,9,0,0.5142857142857142
591,930,9,1,0.5067567567567568
592,930,9,2,0.5172413793103449
593,930,9,3,0.45454545454545453
594,930,9,4,0.5490196078431373
595,930,9,5,0.5
596,930,9,6,0.47368421052631576
597,930,9,7,0.423728813559322
598,930,9,8,0.325
599,930,9,9,0.5
600,930,12,0,0.5714285714285714
601,930,12,1,0.49324324324324326
602,930,12,2,0.5517241379310345
603,930,12,3,0.5
604,930,12,4,0.5294117647058824
605,930,12,5,0.5
606,930,12,6,0.47368421052631576
607,930,12,7,0.4067796610169492
608,930,12,8,0.375
609,930,12,9,0.4090909090909091
610,930,15,0,0.5142857142857142
611,930,15,1,0.5
612,930,15,2,0.5517241379310345
613,930,15,3,0.5
614,930,15,4,0.5294117647058824
615,930,15,5,0.46153846153846156
616,930,15,6,0.5
617,930,15,7,0.4067796610169492
618,930,15,8,0.375
619,930,15,9,0.45454545454545453
620,930,18,0,0.5714285714285714
621,930,18,1,0.4594594594594595
622,930,18,2,0.5172413793103449
623,930,18,3,0.45454545454545453
624,930,18,4,0.5294117647058824
625,930,18,5,0.5
626,930,18,6,0.5
627,930,18,7,0.423728813559322
628,930,18,8,0.4
629,930,18,9,0.5
630,930,21,0,0.5428571428571428
631,930,21,1,0.4527027027027027
632,930,21,2,0.4827586206896552
633,930,21,3,0.45454545454545453
634,930,21,4,0.5490196078431373
635,930,21,5,0.5
636,930,21,6,0.47368421052631576
637,930,21,7,0.3728813559322034
638,930,21,8,0.4
639,930,21,9,0.4772727272727273
640,920,0,0,0.5428571428571428
641,920,0,1,0.47297297297297297
642,920,0,2,0.5862068965517241
643,920,0,3,0.5909090909090909
644,920,0,4,0.49019607843137253
645,920,0,5,0.4230769230769231
646,920,0,6,0.5
647,920,0,7,0.4915254237288136
648,920,0,8,0.45
649,920,0,9,0.5681818181818182
650,920,3,0,0.5142857142857142
651,920,3,1,0.5067567567567568
652,920,3,2,0.5172413793103449
653,920,3,3,0.5
654,920,3,4,0.49019607843137253
655,920,3,5,0.38461538461538464
656,920,3,6,0.5526315789473685
657,920,3,7,0.4745762711864407
658,920,3,8,0.375
659,920,3,9,0.5454545454545454
660,920,6,0,0.5428571428571428
661,920,6,1,0.5067567567567568
662,920,6,2,0.5862068965517241
663,920,6,3,0.5
664,920,6,4,0.49019607843137253
665,920,6,5,0.46153846153846156
666,920,6,6,0.5263157894736842
667,920,6,7,0.4745762711864407
668,920,6,8,0.425
669,920,6,9,0.5454545454545454
670,920,9,0,0.5428571428571428
671,920,9,1,0.5
672,920,9,2,0.5172413793103449
673,920,9,3,0.5454545454545454
674,920,9,4,0.47058823529411764
675,920,9,5,0.38461538461538464
676,920,9,6,0.5263157894736842
677,920,9,7,0.4915254237288136
678,920,9,8,0.45
679,920,9,9,0.5681818181818182
680,920,12,0,0.5428571428571428
681,920,12,1,0.5202702702702703
682,920,12,2,0.5862068965517241
683,920,12,3,0.5909090909090909
684,920,12,4,0.5098039215686274
685,920,12,5,0.4230769230769231
686,920,12,6,0.5263157894736842
687,920,12,7,0.4915254237288136
688,920,12,8,0.475
689,920,12,9,0.5681818181818182
690,920,15,0,0.6
691,920,15,1,0.5135135135135135
692,920,15,2,0.6551724137931034
693,920,15,3,0.5909090909090909
694,920,15,4,0.5098039215686274
695,920,15,5,0.4230769230769231
696,920,15,6,0.5
697,920,15,7,0.423728813559322
698,920,15,8,0.45
699,920,15,9,0.5909090909090909
700,920,18,0,0.5714285714285714
701,920,18,1,0.5067567567567568
702,920,18,2,0.5862068965517241
703,920,18,3,0.5909090909090909
704,920,18,4,0.5294117647058824
705,920,18,5,0.4230769230769231
706,920,18,6,0.47368421052631576
707,920,18,7,0.4576271186440678
708,920,18,8,0.45
709,920,18,9,0.5227272727272727
710,920,21,0,0.5428571428571428
711,920,21,1,0.4527027027027027
712,920,21,2,0.5862068965517241
713,920,21,3,0.6363636363636364
714,920,21,4,0.45098039215686275
715,920,21,5,0.4230769230769231
716,920,21,6,0.5263157894736842
717,920,21,7,0.4745762711864407
718,920,21,8,0.45
719,920,21,9,0.5909090909090909
720,910,0,0,0.5428571428571428
721,910,0,1,0.4864864864864865
722,910,0,2,0.6206896551724138
723,910,0,3,0.4090909090909091
724,910,0,4,0.45098039215686275
725,910,0,5,0.5384615384615384
726,910,0,6,0.47368421052631576
727,910,0,7,0.4406779661016949
728,910,0,8,0.325
729,910,0,9,0.5227272727272727
730,910,3,0,0.4
731,910,3,1,0.5135135135135135
732,910,3,2,0.6206896551724138
733,910,3,3,0.3181818181818182
734,910,3,4,0.43137254901960786
735,910,3,5,0.5769230769230769
736,910,3,6,0.5263157894736842
737,910,3,7,0.4745762711864407
738,910,3,8,0.35
739,910,3,9,0.5454545454545454
740,910,6,0,0.4
741,910,6,1,0.5
742,910,6,2,0.5517241379310345
743,910,6,3,0.36363636363636365
744,910,6,4,0.43137254901960786
745,910,6,5,0.6153846153846154
746,910,6,6,0.47368421052631576
747,910,6,7,0.4745762711864407
748,910,6,8,0.375
749,910,6,9,0.5227272727272727
750,910,9,0,0.4857142857142857
751,910,9,1,0.5337837837837838
752,910,9,2,0.5862068965517241
753,910,9,3,0.3181818181818182
754,910,9,4,0.43137254901960786
755,910,9,5,0.6153846153846154
756,910,9,6,0.47368421052631576
757,910,9,7,0.4915254237288136
758,910,9,8,0.35
759,910,9,9,0.5227272727272727
760,910,12,0,0.5142857142857142
761,910,12,1,0.5472972972972973
762,910,12,2,0.6206896551724138
763,910,12,3,0.4090909090909091
764,910,12,4,0.43137254901960786
765,910,12,5,0.6153846153846154
766,910,12,6,0.5
767,910,12,7,0.4915254237288136
768,910,12,8,0.4
769,910,12,9,0.5
770,910,15,0,0.45714285714285713
771,910,15,1,0.5405405405405406
772,910,15,2,0.5862068965517241
773,910,15,3,0.45454545454545453
774,910,15,4,0.47058823529411764
775,910,15,5,0.6538461538461539
776,910,15,6,0.47368421052631576
777,910,15,7,0.4576271186440678
778,910,15,8,0.375
779,910,15,9,0.4772727272727273
780,910,18,0,0.45714285714285713
781,910,18,1,0.5067567567567568
782,910,18,2,0.6206896551724138
783,910,18,3,0.45454545454545453
784,910,18,4,0.5098039215686274
785,910,18,5,0.6538461538461539
786,910,18,6,0.47368421052631576
787,910,18,7,0.4745762711864407
788,910,18,8,0.4
789,910,18,9,0.45454545454545453
790,910,21,0,0.42857142857142855
791,910,21,1,0.4864864864864865
792,910,21,2,0.5517241379310345
793,910,21,3,0.45454545454545453
794,910,21,4,0.47058823529411764
795,910,21,5,0.6153846153846154
796,910,21,6,0.5
797,910,21,7,0.4576271186440678
798,910,21,8,0.425
799,910,21,9,0.4772727272727273
800,900,0,0,0.42857142857142855
801,900,0,1,0.5202702702702703
802,900,0,2,0.5862068965517241
803,900,0,3,0.5454545454545454
804,900,0,4,0.43137254901960786
805,900,0,5,0.5769230769230769
806,900,0,6,0.47368421052631576
807,900,0,7,0.5254237288135594
808,900,0,8,0.525
809,900,0,9,0.38636363636363635
810,900,3,0,0.4
811,900,3,1,0.5337837837837838
812,900,3,2,0.5517241379310345
813,900,3,3,0.5909090909090909
814,900,3,4,0.37254901960784315
815,900,3,5,0.6153846153846154
816,900,3,6,0.47368421052631576
817,900,3,7,0.5084745762711864
818,900,3,8,0.425
819,900,3,9,0.36363636363636365
820,900,6,0,0.4857142857142857
821,900,6,1,0.4797297297297297
822,900,6,2,0.5517241379310345
823,900,6,3,0.5
824,900,6,4,0.4117647058823529
825,900,6,5,0.6153846153846154
826,900,6,6,0.47368421052631576
827,900,6,7,0.4915254237288136
828,900,6,8,0.35
829,900,6,9,0.36363636363636365
830,900,9,0,0.45714285714285713
831,900,9,1,0.5337837837837838
832,900,9,2,0.5517241379310345
833,900,9,3,0.5
834,900,9,4,0.39215686274509803
835,900,9,5,0.5769230769230769
836,900,9,6,0.47368421052631576
837,900,9,7,0.4915254237288136
838,900,9,8,0.4
839,900,9,9,0.36363636363636365
840,900,12,0,0.37142857142857144
841,900,12,1,0.5337837837837838
842,900,12,2,0.4827586206896552
843,900,12,3,0.5909090909090909
844,900,12,4,0.43137254901960786
845,900,12,5,0.6538461538461539
846,900,12,6,0.47368421052631576
847,900,12,7,0.5084745762711864
848,900,12,8,0.525
849,900,12,9,0.36363636363636365
850,900,15,0,0.34285714285714286
851,900,15,1,0.5202702702702703
852,900,15,2,0.6206896551724138
853,900,15,3,0.6363636363636364
854,900,15,4,0.45098039215686275
855,900,15,5,0.5769230769230769
856,900,15,6,0.47368421052631576
857,900,15,7,0.5254237288135594
858,900,15,8,0.575
859,900,15,9,0.36363636363636365
860,900,18,0,0.37142857142857144
861,900,18,1,0.5405405405405406
862,900,18,2,0.5172413793103449
863,900,18,3,0.5454545454545454
864,900,18,4,0.45098039215686275
865,900,18,5,0.6153846153846154
